#         t          x          y          z         vx         vy         vz
       7.3500   16052.0572    1621.3214   10478.2550    2258.9247     226.8853    1473.5091
       7.4000   16165.0030    1632.6656   10551.9301    2258.9041     226.8832    1473.4956
       7.4500   16277.9476    1644.0097   10625.6045    2258.8838     226.8812    1473.4823
       7.5000   16390.8913    1655.3537   10699.2783    2258.8637     226.8791    1473.4692
       7.5500   16503.8340    1666.6976   10772.9515    2258.8439     226.8771    1473.4563
       7.6000   16616.7757    1678.0414   10846.6240    2258.8244     226.8752    1473.4436
       7.6500   16729.7165    1689.3851   10920.2958    2258.8051     226.8732    1473.4310
       7.7000   16842.6563    1700.7287   10993.9671    2258.7861     226.8713    1473.4186
       7.7500   16955.5951    1712.0723   11067.6377    2258.7674     226.8694    1473.4064
       7.8000   17068.5330    1723.4157   11141.3077    2258.7489     226.8676    1473.3943
       7.8500   17181.4700    1734.7590   11214.9771    2258.7307     226.8657    1473.3824
       7.9000   17294.4061    1746.1023   11288.6460    2258.7126     226.8639    1473.3706
       7.9500   17407.3413    1757.4454   11362.3142    2258.6949     226.8621    1473.3590
       8.0000   17520.2756    1768.7885   11435.9819    2258.6773     226.8603    1473.3476
       8.0500   17633.2090    1780.1314   11509.6490    2258.6600     226.8586    1473.3362
       8.1000   17746.1416    1791.4743   11583.3155    2258.6429     226.8568    1473.3251
       8.1500   17859.0733    1802.8171   11656.9815    2258.6260     226.8551    1473.3140
       8.2000   17972.0042    1814.1598   11730.6469    2258.6093     226.8535    1473.3031
       8.2500   18084.9342    1825.5025   11804.3118    2258.5928     226.8518    1473.2924
       8.3000   18197.8634    1836.8450   11877.9761    2258.5765     226.8502    1473.2818
       8.3500   18310.7919    1848.1875   11951.6400    2258.5605     226.8485    1473.2713
       8.4000   18423.7195    1859.5299   12025.3033    2258.5446     226.8469    1473.2609
       8.4500   18536.6463    1870.8722   12098.9661    2258.5289     226.8453    1473.2507
       8.5000   18649.5724    1882.2144   12172.6283    2258.5134     226.8438    1473.2406
       8.5500   18762.4977    1893.5566   12246.2901    2258.4981     226.8422    1473.2306
       8.6000   18875.4222    1904.8986   12319.9514    2258.4830     226.8407    1473.2207
       8.6500   18988.3460    1916.2406   12393.6122    2258.4680     226.8392    1473.2110
       8.7000   19101.2690    1927.5825   12467.2725    2258.4533     226.8377    1473.2013
